"","PercProtected","ResourceMobility","ProtectedCC","WorkingCC","MeanPayoff","meanTimeWorking"
"66",0.45,0.2,0.659333333333333,0.108454545454545,16.1345,0.648971476939371
"67",0.5,0.2,0.71996,0.11903,16.959,0.67391691791531
"68",0.55,0.2,0.738172727272727,0.113388888888889,16.9585,0.724450831843532
"69",0.6,0.2,0.757258333333333,0.124125,16.9925,0.74239455685923
"70",0.65,0.2,0.772223076923077,0.126057142857143,16.9805,0.783680791292742
"71",0.7,0.2,0.787114285714286,0.130083333333333,16.991,0.820794530783323
"72",0.75,0.2,0.807926666666667,0.21738,16.9985,0.872912651475597
"73",0.8,0.2,0.8071875,0.1787,17,0.936937423929549
"74",0.85,0.2,0.740976470588235,0.3031,16.9845,0.746629728301095
"75",0.9,0.2,0.693677777777778,0.377949999999999,16.978,0.69625872707044
"76",0.95,0.2,0.0474052631578947,0.1879,1.898,0.602795248589686
"77",0.05,0.25,0.5255,0.00908421052631579,1.7085,0.764758016164507
"78",0.1,0.25,0.26165,0.0100166666666667,1.7405,0.735695831213886
"79",0.15,0.25,0.127166666666667,0.0102117647058824,1.428,0.701702789810019
"80",0.2,0.25,0.13455,0.0111,1.634,0.714302694706662
"81",0.25,0.25,0.07998,0.01294,1.4275,0.706952678997123
"82",0.3,0.25,0.0577333333333333,0.01195,1.355,0.672520021362929
"83",0.35,0.25,0.0483285714285714,0.0132230769230769,1.193,0.692263313166008
"84",0.4,0.25,0.0393375,0.0135333333333333,1.214,0.666842519551518
"85",0.45,0.25,0.457844444444444,0.0751636363636364,11.4205,0.680872467050542
"86",0.5,0.25,0.71423,0.11112,16.9715,0.723808008554079
"87",0.55,0.25,0.732763636363636,0.104311111111111,16.981,0.781256246446679
"88",0.6,0.25,0.750583333333333,0.1006625,16.991,0.858144667525157
"89",0.65,0.25,0.846369230769231,0.495085714285714,17,0.966143525894347
"90",0.7,0.25,0.818378571428571,0.43805,17,0.970679586229612
"91",0.75,0.25,0.786493333333333,0.33254,17,0.950633526849536
"92",0.8,0.25,0.7611625,0.178675,17,0.954106976312775
"93",0.85,0.25,0.696952941176471,0.285833333333333,16.978,0.763707606695958
"94",0.9,0.25,0.01615,0.0894000000000001,1.191,0.630864775656423
"95",0.95,0.25,0.0137473684210526,0.1745,1.079,0.629246658649778
"96",0.05,0.3,0.4501,0.00904210526315789,1.411,0.771429289030631
"97",0.1,0.3,0.25485,0.00928888888888889,1.752,0.780428374760068
"98",0.15,0.3,0.129966666666667,0.0104647058823529,1.3135,0.750277479294406
"99",0.2,0.3,0.11505,0.01181875,1.527,0.750434808918449
"100",0.25,0.3,0.07784,0.0107333333333333,1.51,0.740501126789983
"101",0.3,0.3,0.0626833333333333,0.0107857142857143,1.414,0.740240556669258
"102",0.35,0.3,0.0559571428571429,0.0137461538461538,1.326,0.742462300209997
"103",0.4,0.3,0.044025,0.0119416666666667,1.3735,0.716687641944421
"104",0.45,0.3,0.0352555555555556,0.0146909090909091,1.2535,0.701138874076961
"105",0.5,0.3,0.69988,0.07777,16.9725,0.839483871345902
"106",0.55,0.3,0.928254545454545,0.624455555555556,17,0.964749359128869
"107",0.6,0.3,0.871108333333333,0.5781625,17,0.966811173923511
"108",0.65,0.3,0.821084615384615,0.517471428571428,17,0.968756827202535
"109",0.7,0.3,0.782928571428571,0.442566666666667,17,0.961109691510946
"110",0.75,0.3,0.744613333333333,0.33848,17,0.942684540555205
"111",0.8,0.3,0.7126625,0.18135,17,0.950770400834233
"112",0.85,0.3,0.0189,0.0549333333333334,1.169,0.696799347227334
"113",0.9,0.3,0.0152777777777778,0.0821000000000001,1.09,0.661237045012635
"114",0.95,0.3,0.0143421052631579,0.1783,0.9925,0.644801014474754
"115",0.05,0.35,0.4078,0.00847894736842105,1.316,0.804286516544734
"116",0.1,0.35,0.1883,0.00872222222222222,1.2915,0.785231038206759
