"","PercProtected","ResourceMobility","ProtectedCC","WorkingCC","MeanPayoff","meanTimeWorking"
"80",0.2,0.25,0.7391,0.00775,5.6485,0.96458462824427
"81",0.25,0.25,0.73352,0.00927333333333333,7.0545,0.96477646707223
"82",0.3,0.25,0.735466666666667,0.0109214285714286,8.444,0.963545648276109
"83",0.35,0.25,0.737557142857143,0.0122846153846154,9.657,0.969944406117265
"84",0.4,0.25,0.7327,0.0145583333333333,10.93,0.967563386259813
"85",0.45,0.25,0.731922222222222,0.0157909090909091,12.661,0.965078828143386
"86",0.5,0.25,0.73111,0.01916,13.8635,0.965539597027805
"87",0.55,0.25,0.734654545454545,0.0201666666666667,15.1535,0.969105653097011
"88",0.6,0.25,0.740258333333333,0.0283125,16.142,0.966114944053637
"89",0.65,0.25,0.791446153846154,0.225114285714286,16.86,0.967810851854492
"90",0.7,0.25,0.819921428571429,0.433333333333333,17,0.965997176927903
"91",0.75,0.25,0.78838,0.32,17,0.968713954648366
"92",0.8,0.25,0.76545,0.152075,16.9955,0.965862117917437
"93",0.85,0.25,0.733829411764706,0.0967666666666661,15.4875,0.966695256478856
"94",0.9,0.25,0.730555555555556,0.127949999999999,10.8655,0.967950880126056
"95",0.95,0.25,0.728557894736842,0.0363000000000009,7.1175,0.967638060458821
"96",0.05,0.3,0.7286,0.00503684210526316,1.696,0.966944592644386
"97",0.1,0.3,0.69815,0.00686666666666667,3.2215,0.967611103417752
"98",0.15,0.3,0.6947,0.00783529411764706,4.7865,0.965766676017649
"99",0.2,0.3,0.6906,0.00769375,6.698,0.968063866663824
"100",0.25,0.3,0.69158,0.0106466666666667,8.0495,0.966999304712004
"101",0.3,0.3,0.69545,0.0129928571428571,9.4935,0.967420415264298
"102",0.35,0.3,0.685985714285714,0.0139923076923077,11.4545,0.964574233460466
"103",0.4,0.3,0.6862875,0.0161083333333333,12.84,0.967714593341529
"104",0.45,0.3,0.685533333333333,0.0165181818181818,14.6145,0.964957032399456
"105",0.5,0.3,0.69115,0.01893,15.8955,0.968472427140661
"106",0.55,0.3,0.9112,0.580055555555556,16.993,0.97187017152673
"107",0.6,0.3,0.872508333333333,0.575,17,0.964878044950778
"108",0.65,0.3,0.823907692307692,0.514285714285714,17,0.96647944896287
"109",0.7,0.3,0.783471428571429,0.433333333333333,17,0.969463046339033
"110",0.75,0.3,0.746093333333333,0.32,17,0.963268353402919
"111",0.8,0.3,0.71501875,0.151625,16.994,0.967261381755125
"112",0.85,0.3,0.686411764705882,0.0982666666666661,15.3465,0.966277432636716
"113",0.9,0.3,0.6832,0.130249999999999,10.819,0.965822314054176
"114",0.95,0.3,0.673510526315789,0.0380000000000009,7.038,0.966211730016864
"115",0.05,0.35,0.6533,0.00621578947368421,1.601,0.96500574451891
"116",0.1,0.35,0.57465,0.00643333333333333,3.1665,0.96963932985674
"117",0.15,0.35,0.364566666666667,0.00627647058823529,3.074,0.966314060996093
"118",0.2,0.35,0.268375,0.00745625,2.9605,0.964959760321792
"119",0.25,0.35,0.20796,0.00813333333333333,2.875,0.964199006480407
"120",0.3,0.35,0.188533333333333,0.00690714285714286,3.235,0.964803419730762
"121",0.35,0.35,0.177328571428571,0.00930769230769231,3.442,0.966246014675182
"122",0.4,0.35,0.15585,0.00785833333333333,3.494,0.967465078242708
"123",0.45,0.35,0.131811111111111,0.0116545454545455,3.122,0.96891898592712
"124",0.5,0.35,0.85198,0.39401,17,0.965739692649081
"125",0.55,0.35,0.918963636363636,0.622222222222222,17,0.962920157827525
"126",0.6,0.35,0.8501,0.575,17,0.962804008572216
"127",0.65,0.35,0.798315384615385,0.514285714285714,17,0.965327370848882
"128",0.7,0.35,0.747964285714286,0.433333333333333,17,0.965183250507703
"129",0.75,0.35,0.706786666666667,0.32,17,0.963735265254671
"130",0.8,0.35,0.66600625,0.152325,16.9945,0.965599489349877
